m0,m12,a0,tanbeta,Mh(1),Mh(2),obsratio,csq(tot)
112.85442432983915,2956.2817614421338,3010.9897801627635,21.79928044257971,,,,
933.153173370219,2184.220419154918,2849.6668717969314,24.099029371276536,118.447,167.792,1.34634,800.341
462.0108426957264,2574.7135352864643,1666.5360264917936,59.73514945923351,,,,
338.5874980870973,2683.294541425152,3972.3455976971463,16.10261499091673,79.899,122.874,1.57401,155.425
875.008363347485,1028.933583471531,3958.2063448196964,18.217027107593793,112.235,150.012,2.04617,898.246
646.5709032524812,3552.140212838008,3402.2736972826865,44.051383755368136,109.192,132.031,4.41804,817.026
478.09931944411863,2495.801200933234,3896.9863693453995,6.208451227569366,90.9519,121.072,0.91482,624.107
768.2783882950459,3357.651369508184,1423.2364114211905,38.05158870203014,121.515,212.362,0.958345,625.821
330.283900328355,3996.9994182867445,1346.0203177696928,35.53428221948152,,,,
844.934483038201,1805.303715830154,3631.695412774472,28.5085443168634,115.017,143.174,2.23709,803.073
